method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_011,270,0.6764705882352942,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,285,0.6764705882352942,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_011,300,0.7058823529411765,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,15,1.0,1.0,,,True
fc_openrouter_gpt_oss_120b,traj_012,30,0.9117647058823529,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_012,45,0.8529411764705882,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_012,60,0.8235294117647058,0.9705882352941176,0.0,,False
fc_openrouter_gpt_oss_120b,traj_012,75,0.8235294117647058,0.9411764705882353,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,90,0.7941176470588235,0.9411764705882353,0.14285714285714285,0.5,False
fc_openrouter_gpt_oss_120b,traj_012,105,0.7647058823529411,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,120,0.7058823529411765,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_012,135,0.6764705882352942,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,150,0.6764705882352942,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_012,165,0.7058823529411765,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,180,0.6470588235294118,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,195,0.6470588235294118,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,210,0.6470588235294118,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_012,225,0.6470588235294118,0.8235294117647058,0.0,,False
